name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Jordan Howard,10,10,0,175.26,61.23492,175.26,,,,,,,,,,,United States,St. Charles MMA,10-10-0.,0.5,Peso Galo
Ji Yeon Seo,9,9,0,162.56,54.884631999999996,162.56,,,,,,,,,,,South Korea,The Gym Lab,9-9-0.,0.5,Peso Mosca
John Mercurio,9,9,0,185.42,77.11064,185.42,,,,,,,,,,,United States,Ultimate Training Center,9-9-0.,0.5,Peso Meio-Médio
Dave Morgan,5,5,0,162.56,57.152592,162.56,,,,,,,,,,,United States,,5-5-0.,0.5,Peso Galo
Mizuki Inoue,14,14,0,162.56,52.16308,162.56,,,,,,,,,,,Japan,Hakushinkai Karate,14-14-0.,0.5,Peso Mosca
Andrew Cruz,6,6,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,United States,,6-6-0.,0.5,Peso Leve
Eugene Cancino,0,0,0,162.56,56.699,162.56,,,,,,,,,,,United States,Thrive MMA,0-0-0.,0.0,Peso Mosca
Lukasz Klinger,9,9,0,187.96,92.98636,187.96,,,,,,,,,,,Poland,"Blood, Sweat & Tears MMA",9-9-0.,0.5,Peso Meio-Pesado
Derrick Adkins,10,10,0,180.34,73.481904,180.34,,,,,,,,,,,United States,American Elite MMA,10-10-0.,0.5,Peso Meio-Médio
Kyle Weickhardt,4,4,0,185.42,83.007336,185.42,,,,,,,,,,,United States,,4-4-0.,0.5,Peso Médio
Clint Musser,2,2,0,170.18,70.30676,170.18,,,,,,,,,,,United States,Evolve MMA,2-2-0.,0.5,Peso Leve
Xian Ji,20,20,0,172.72,64.863656,172.72,,,,,,,,,,,China,China Top Team,20-20-0.,0.5,Peso Pena
Rodrigo Pinheiro,4,4,0,177.8,83.91452,177.8,,,,,,,,,,,United States,,4-4-0.,0.5,Peso Médio
Thway  Thit Aung,2,2,0,167.64000000000001,70.30676,167.64000000000001,,,,,,,,,,,Myanmar,Nagani,2-2-0.,0.5,Peso Leve
Namiki Kawahara,7,7,0,167.64000000000001,52.16308,167.64000000000001,,,,,,,,,,,Japan,Team Alpha Male,7-7-0.,0.5,Peso Mosca
David Rickels,21,21,0,180.34,77.11064,180.34,,,,,,,,,,,United States,Janjira Muay Thai,21-21-0.,0.5,Peso Meio-Médio
Simone La Preziosa,3,3,0,172.72,70.30676,172.72,,,,,,,,,,,Italy,Davide Ferretti MMA Fighters Elite,3-3-0.,0.5,Peso Leve
Valeriu Mircea,26,26,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Italy,Aurora MMA,26-26-0.,0.5,Peso Leve
Derrick Kennington,13,13,0,182.88,69.853168,182.88,,,,,,,,,,,United States,Pellegrino MMA,13-13-0.,0.5,Peso Leve
Zane Clerk,0,0,0,182.88,77.11064,182.88,,,,,,,,,,,Israel,,0-0-0.,0.0,Peso Meio-Médio
